id,last_scraped,source,host_id,host_since,host_location,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
1583557,9/15/2022,city scrape,1567001,1/4/2012,"Nashville, TN",t,10,21,t,t,,District 6,,36.17833,-86.74426,Entire home,Entire home/apt,4,,1.5 baths,2,2,$160.00 ,30,180,2,30,1125,1125,22,1125,,t,0,0,0,0,9/15/2022,114,7,2,9/24/2013,9/11/2022,4.84,4.82,4.81,4.93,4.98,4.92,4.77,,f,4,2,2,0,1.04
1584280,9/15/2022,city scrape,8440705,8/26/2013,"Nashville, TN",t,1,3,t,f,"Nashville, Tennessee, United States",District 6,,36.17649,-86.74237,Entire guesthouse,Entire home/apt,2,,1 bath,1,1,$97.00 ,2,1125,2,2,1125,1125,2,1125,,t,0,4,22,275,9/15/2022,369,27,2,9/6/2013,8/28/2022,4.87,4.91,4.91,4.98,4.98,4.96,4.89,,f,1,1,0,0,3.36
1587240,9/15/2022,city scrape,1567001,1/4/2012,"Nashville, TN",t,10,21,t,t,,District 6,,36.17868,-86.74394,Private room in home,Private room,2,,1.5 baths,1,1,$70.00 ,30,180,30,30,180,180,30,180,,t,0,0,0,137,9/15/2022,135,0,0,9/21/2013,7/22/2021,4.93,4.95,4.92,4.98,4.98,4.96,4.94,,f,4,2,2,0,1.23
1625117,9/15/2022,city scrape,8382752,8/25/2013,"Nashville, TN",f,1,2,t,t,"Nashville, Tennessee, United States",District 7,,36.23019,-86.71623,Entire rental unit,Entire home/apt,6,,1 bath,1,2,$97.00 ,1,31,1,2,1125,1125,1.1,1125,,t,17,45,75,350,9/15/2022,283,24,3,4/10/2014,8/29/2022,4.25,4.47,4.13,4.84,4.82,4.65,4.37,,t,1,1,0,0,2.76
1640655,9/15/2022,city scrape,6154341,4/29/2013,"Nashville, TN",f,1,1,t,t,"Nashville, Tennessee, United States",District 17,,36.1254,-86.77825,Private room in home,Private room,2,,1 bath,2,1,$90.00 ,4,1125,4,4,1125,1125,4,1125,,t,0,0,0,243,9/15/2022,149,0,0,10/3/2013,5/1/2019,4.9,4.95,4.9,5,4.99,4.84,4.92,,f,1,0,1,0,1.37
1661560,9/15/2022,city scrape,8804227,9/12/2013,"Nashville, TN",f,1,2,t,t,"Nashville, Tennessee, United States",District 6,,36.17622,-86.73512,Entire rental unit,Entire home/apt,6,,1 bath,2,2,$212.00 ,1,160,1,3,160,160,1.6,160,,t,0,11,28,208,9/15/2022,123,9,1,11/12/2013,8/23/2022,4.9,4.91,4.94,4.95,4.96,4.89,4.87,,f,1,1,0,0,1.14
1714215,9/15/2022,city scrape,812128,7/12/2011,,f,19,26,t,t,"Nashville, Tennessee, United States",District 12,,36.18743,-86.59163,Private room in home,Private room,1,,1 private bath,1,1,$35.00 ,31,365,31,31,365,365,31,365,,t,11,41,71,161,9/15/2022,14,4,0,4/8/2015,7/25/2022,4.93,4.93,4.79,5,4.86,4.79,4.79,,f,10,1,9,0,0.15
1786497,9/15/2022,city scrape,7503893,7/15/2013,"Nashville, TN",f,3,5,t,t,"Nashville, Tennessee, United States",District 7,,36.19506,-86.71568,Entire rental unit,Entire home/apt,4,,1 bath,3,3,$99.00 ,30,1125,30,30,1125,1125,30,1125,,t,0,13,43,43,9/15/2022,106,3,0,1/22/2014,8/8/2022,4.79,4.75,4.74,4.9,4.93,4.64,4.73,,t,3,2,1,0,1.01
1793477,9/15/2022,city scrape,7509912,7/15/2013,"Nashville, TN",t,2,2,t,t,"Nashville, Tennessee, United States",District 7,,36.1978,-86.70568,Entire home,Entire home/apt,6,,1 bath,1,3,$150.00 ,1,1125,1,2,1125,1125,1.1,1125,,t,22,47,65,337,9/15/2022,490,25,1,11/19/2013,9/11/2022,4.94,4.96,4.95,4.94,4.95,4.84,4.93,,f,2,2,0,0,4.56
1840652,9/15/2022,city scrape,2066370,4/3/2012,"Nashville, TN",t,5,9,t,t,"Nashville, Tennessee, United States",District 21,,36.17642,-86.80902,Entire townhouse,Entire home/apt,10,,2 baths,3,4,$375.00 ,2,1125,2,2,1125,1125,2,1125,,t,16,30,43,223,9/15/2022,155,24,2,11/19/2013,8/28/2022,4.76,4.78,4.86,4.92,4.94,4.35,4.72,,t,2,2,0,0,1.44
