id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
560972580844794550,Entire 2 bedroom chic unit A-6,368064819,Cashmere,,District 6,36.19014,-86.73595,Entire home/apt,186,2,17,2022-09-10,2.54,6,160,17,
561428453710219201,MC / Stunning Rooftop / 4 Min Downtown & Broadway,260899725,Kevin,,District 5,36.17817,-86.75619,Entire home/apt,274,3,12,2022-08-28,1.78,51,329,12,
561494518527159240,The Nash Abode!★Close to DT★Huge Photo Wall★,285748255,Allie And Calvin,,District 5,36.20529,-86.74309,Entire home/apt,210,2,22,2022-09-11,3.17,7,183,22,
561598028907769011,WALKABLE Riverside Village Tudor Cottage,32234799,Lauren,,District 7,36.2065,-86.72531,Entire home/apt,126,3,6,2022-09-05,1.08,1,0,6,
561677833602529027,3 bedroom Brentwood home with neighborhood pool,70996237,Kelly,,District 4,36.04226,-86.75346,Entire home/apt,110,30,1,2022-07-30,0.63,1,167,1,
561923776837376299,*Gnomes Hollow* Big Deck w/Parking 4 mi to DT,399527568,Cheyenne,,District 2,36.19119,-86.83199,Entire home/apt,271,1,11,2022-09-05,1.65,1,365,11,
562209286290735939,Willow Springs Retreat AirBnb,7509912,Sarah & Steve,,District 7,36.19901,-86.70615,Entire home/apt,140,1,14,2022-08-28,2.82,2,331,14,
562213121185861728,Cowboy Country - Rooftop Hot Tub - Heart of Gulch,20772148,GoodNight,,District 17,36.14728,-86.78679,Entire home/apt,694,1,11,2022-09-14,1.79,124,131,11,
562287860381810750,Hip Hillsboro Village,131468900,Alexa,,District 18,36.13409,-86.80199,Entire home/apt,161,2,22,2022-08-24,3.17,2,148,22,
562413136734952095,"Nashville Getaway - Airport, 10 minutes from Broadway/Downtown - Nashville, TN",121534901,Vacasa Tennessee,,District 13,36.13477,-86.70027,Entire home/apt,256,2,11,2022-09-10,1.71,43,364,11,
562436642628367764,Professionally Designed Charmer with Outdoor Oasis,66369506,Betsy,,District 21,36.18286,-86.81026,Entire home/apt,165,1,10,2022-05-18,1.43,2,9,10,
562823495900128633,Frontdesk | 1st Floor Studio Downtown,391113997,Frontdesk,,District 19,36.16897,-86.78203,Entire home/apt,179,1,3,2022-08-27,0.99,28,40,3,
562823858035114636,Frontdesk | Downtown Studio steps to Entertainment,391113997,Frontdesk,,District 19,36.16854,-86.78265,Entire home/apt,182,1,19,2022-08-24,3.99,28,43,19,
562857412599568103,Charming Private Suite-2 Miles to Downtown!,445175023,Jillian,,District 6,36.16265,-86.7491,Entire home/apt,163,2,11,2022-08-14,1.70,2,338,11,
562872857788128240,Frontdesk | Downtown Studio Close to Entertainment,391113997,Frontdesk,,District 19,36.16827,-86.782913,Entire home/apt,185,1,31,2022-09-12,8.02,28,324,31,
562889763621652776,Frontdesk | 2 BR Downtown,391113997,Frontdesk,,District 19,36.16892,-86.78363,Entire home/apt,212,1,19,2022-09-09,5.33,28,19,19,
562915491810130929,Music City Loft-Walk to Broadway-Resort Amenities,226768276,Katherine,,District 19,36.15488815307617,-86.7754135131836,Entire home/apt,428,3,35,2022-08-25,5.05,20,83,35,
562928771778247093,8 min->DT!✨CENTRAL + Vibey! Parking! 2bd/2.5ba!,76759762,Your-Cation Stays,,District 21,36.14369,-86.82135,Entire home/apt,129,1,31,2022-09-05,4.89,6,349,31,
562952739171467376,"Luxe downtown condo on the waterfront - river-view balcony, fast WiFi & W/D",134126657,Vacasa Tennessee,,District 19,36.17107,-86.78084,Entire home/apt,600,2,10,2022-08-30,1.55,114,349,10,
562959470737345085,Cozy Bohemian Condo w/ Pool!  • Mins to Downtown,6855810,UrbanNashville,,District 17,36.126522,-86.778015,Entire home/apt,149,1,22,2022-09-12,3.40,86,167,22,
562965335695465666,New 4bed/4bath townhome w rooftop views-6mins away from Broadway🌃,95761734,Lisa,,District 5,36.19218,-86.75596,Entire home/apt,303,2,19,2022-09-07,3.08,1,352,19,
563021442317635299,Modern + Retro Spacious Nashville Home - Minutes from Dwtn w/yard,342757197,Rob,,District 21,36.16238,-86.81045,Entire home/apt,241,2,12,2022-09-11,2.17,1,155,12,
563109806657878604,Cozy ranch style 2 bedroom home.,109636161,Sierra,,District 15,36.17848,-86.68674,Entire home/apt,166,2,4,2022-07-31,1.46,1,1,4,
563592309519382923,★ Studio Apt ★ Pool ★ Gym ★ 10 Mins to Broadway ★,445341732,Jonnie,,District 2,36.20672,-86.78236,Entire home/apt,60,29,1,2022-05-22,0.26,1,364,1,
563654820290587420,Adorable 2 bedroom home 10 minutes from downtown,114182203,Courtney,,District 5,36.2076,-86.7547,Entire home/apt,191,2,17,2022-08-14,2.83,1,132,17,
563876070263863933,Writers retreat in Hillsboro village,18103126,Lloyd,,District 18,36.13028,-86.81087,Entire home/apt,170,2,27,2022-08-23,4.18,2,349,27,
563885431192563670,Chill 2 bedroom in Hillsboro Village,18103126,Lloyd,,District 18,36.13036,-86.81239,Entire home/apt,146,2,26,2022-09-04,3.86,2,354,26,
564286924174148433,★ Music City ROCKSTAR Cottage Close to Downtown ★,1916801,Jennava,,District 21,36.18054,-86.82374,Entire home/apt,326,2,25,2022-09-05,3.87,1,350,25,
564376411192699918,Urban Bungalow ★ 2 Bedroom - Close to Everything,1542713,Brandon,,District 17,36.13702,-86.78764,Entire home/apt,172,3,28,2022-09-09,4.20,26,319,28,
564376605956289231,Urban Bungalow 🌿 Cute - Cozy - Close to everythin,1542713,Brandon,,District 17,36.137,-86.7863,Entire home/apt,217,3,26,2022-09-12,3.86,26,307,26,
564376897741088602,Urban Bungalow 🌸 2 Bedroom - Heart of Nashville,1542713,Brandon,,District 17,36.13723,-86.78657,Entire home/apt,169,3,29,2022-09-07,4.31,26,343,29,
